conversation_id,rep_id,client_id,date,product,product_category,specialite_cible,objection_type,objection_text,rep_response,response_quality,niveau_alia,visit_format,visit_step,medecin_type,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,acrv_score,conformite_flag,client_sentiment,conversation_duration_sec,outcome,skill_tags
CONV_1023,REP_208,CLIENT_080,2025-10-28,Pédiakids Apitou N1 N2 150ml,Toux pédiatrique – sèche/grasse,Pédiatre,autre,Je ne veux pas multiplier les références pédiatriques,"C'est une objection fréquente. Vous préférez une règle simple pour choisir ? 1 règle de tri claire entre les deux références et plan B. Avec cette règle simple, est-ce que ça facilite votre choix ?",Excellent,Confirmé,Approfondie,5,Promouvant,9.48,9.56,8.92,9.25,2,1,Positif,404,Engagement obtenu,conformite
CONV_1024,REP_209,CLIENT_046,2026-02-26,Phytothéra CoQ10 B60,Coenzyme Q10 – support énergétique,MG,conviction,Pas convaincu par les données sur la CoQ10,"Je comprends tout à fait votre préoccupation. Vous attendez quel type de repère scientifique ? 1 repère ciblé, cure test sur 2 patients et retour à J+30. Avec ce repère, est-ce que vous seriez prêt à tester sur quelques cas ? (dans le cadre de l'AMM)",Excellent,Expert,Standard,4,Analysant,7.26,8.24,8.98,8.33,4,1,Positif,172,Test accepté,ACRV|closing|conformite|questionnement
CONV_1025,REP_210,CLIENT_230,2025-10-11,Vitonic Grossesse B30,Grossesse – support nutritionnel,MG,securite,Je suis très prudent avec tout produit en grossesse,"Je comprends votre réticence. Vous craignez quoi précisément : dosage, tolérance ou interactions ? Réponse prudente avec renvoi à la fiche et plan B selon le trimestre. Avec ces précisions, est-ce que vous seriez à l'aise pour l'envisager ? (dans le respect du cadre)",Excellent,Confirmé,Approfondie,6,Facilitant,9.98,9.69,8.8,9.36,4,1,Neutre,288,Prochain RDV fixé,ACRV|conformite
CONV_1026,REP_211,CLIENT_040,2026-02-28,Vitonic Tonus Plus B30,Tonus – cure énergie,MG,autre,Je préfère une approche médicale classique,"Je comprends votre réticence. Dans quels cas vous acceptez un support complémentaire ? Positionnement support clair avec prudence et complémentarité médicale. En complément de votre approche, est-ce que ça vous semble acceptable ?",Excellent,Confirmé,Approfondie,4,Promouvant,8.74,9.66,7.71,8.55,3,1,Positif,415,Test accepté,ACRV|conformite|questionnement
CONV_1027,REP_212,CLIENT_091,2025-11-16,Vitonic Conception B30,Conception – préconception,MG,autre,Je ne veux pas promettre de résultats sur la conception,"C'est une objection fréquente. Quel objectif réaliste vous semble acceptable : routine ou observance ? Positionnement support uniquement avec suivi rigoureux. Dans ce cadre support strict, est-ce que vous pouvez l'envisager ? (dans le respect du cadre)",Excellent,Confirmé,Standard,6,Promouvant,8.22,6.58,4.71,6.15,3,1,Neutre,63,Test accepté,ACRV|conformite|questionnement
CONV_1028,REP_213,CLIENT_145,2026-02-17,Pédiakids Apigrip 150ml,Pédiatrie – confort saisonnier,Pédiatre,autre,Ils arrêtent dès l'amélioration des symptômes,"Votre point est tout à fait valable. Vous le voyez souvent dans votre pratique pédiatrique ? Conseil durée d'usage recommandée avec suivi à J+5. Avec ce conseil de durée, est-ce que les parents seraient mieux guidés ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,4,Promouvant,8.66,8.87,9.34,9.03,4,1,Positif,363,Test accepté,ACRV|conformite
CONV_1029,REP_214,CLIENT_005,2026-01-17,Pédiakids Oméga3 150ml,Oméga-3 – enfant,Pédiatre,observance,Les enfants refusent à cause du goût,"Je comprends votre réticence. À quel moment de la journée c'est le plus difficile pour eux ? Astuces observance adaptées à l'enfant et test sur 2 semaines. Avec ces astuces pratiques, pensez-vous que l'adhésion s'améliorerait ?",Excellent,Confirmé,Approfondie,5,Promouvant,7.78,8.26,8.81,8.39,4,1,Positif,300,Engagement obtenu,ACRV|closing|conformite|questionnement
CONV_1030,REP_200,CLIENT_156,2026-02-03,LV Phytocalm B30,Calme / stress – support,MG,comportement_patient,Mes patients veulent un vrai somnifère,"Je vous remercie de soulever ce point. Que demandent-ils exactement comme effet et dans quel délai ? Recadrage des attentes, limites claires et orientation médicale si besoin. Avec ce recadrage, est-ce que vous pouvez orienter ces patients ? (dans le cadre de l'AMM)",Excellent,Expert,Standard,5,Facilitant,5.59,7.72,5.93,6.38,4,1,Positif,145,Test accepté,ACRV|conformite|questionnement
CONV_1031,REP_201,CLIENT_198,2025-11-17,Oligovit Zinc B15,Zinc – cure courte,MG,autre,"Tout le monde demande du zinc, c'est trop galvaudé","Je comprends votre réticence. Quel profil prioritaire vous identifiez dans ces demandes ? Segmentation précise avec cure test de 15 jours. Sur ce profil bien ciblé, est-ce que ça vous semble pertinent ?",Excellent,Confirmé,Approfondie,6,Promouvant,9.22,9.45,8.03,8.75,4,1,Positif,416,Engagement obtenu,ACRV|closing|segmentation|conformite|questionnement
CONV_1032,REP_202,CLIENT_134,2026-02-14,LV Fersang B60,Fer / énergie,Gynéco,conviction,Pas convaincu par ce produit,"C'est une question légitime et importante. Vous voulez un repère sur la composition, la tolérance, ou l'usage pratique ? 1 repère clinique ciblé et proposition de test sur 2 à 3 patients. Est-ce que ce repère suffit pour envisager un test sur quelques patients ? (je vérifie et je reviens)",Excellent,Expert,Approfondie,4,Analysant,7.48,6.75,6.11,6.64,4,1,Neutre,435,Engagement obtenu,ACRV|closing|conformite|questionnement
CONV_1033,REP_203,CLIENT_218,2025-11-23,LV Tétra B B30,Vitamines B – énergie,MG,comportement_patient,Mes patients ne prennent pas régulièrement,"C'est une objection fréquente. Quel est le frein principal : l'oubli ou la motivation ? Astuce observance avec rituel de prise et rappel, cure courte test. Est-ce que cette approche par cure courte pourrait améliorer l'adhésion ? (dans le respect du cadre)",Excellent,Confirmé,Approfondie,5,Facilitant,10.0,7.91,8.48,8.69,4,1,Positif,313,Engagement obtenu,ACRV|closing|conformite|questionnement
CONV_1034,REP_204,CLIENT_126,2025-12-24,PULMAX antitussif 150ml,Toux – sirop,MG,comportement_patient,Les patients s'automédiquent trop,"C'est une question légitime et importante. Vous le constatez souvent dans votre pratique ? Message sécurité : bon usage, durée limitée, consulter si persistance. Avec ce cadrage, est-ce que vous seriez à l'aise pour le recommander ?",Excellent,Expert,Approfondie,6,Facilitant,9.24,9.92,7.64,8.72,4,1,Neutre,424,Prochain RDV fixé,ACRV|conformite
CONV_1035,REP_205,CLIENT_060,2025-10-01,Oligovit Vitamine C B30,Vitamine C – soutien,MG,autre,"Tout le monde en demande, c'est galvaudé","Je comprends votre réticence. Quel profil vous voudriez prioriser dans votre patientèle ? Segmentation patient ciblée avec cure courte et suivi J+15. Sur ce profil précis, est-ce que vous seriez prêt à l'essayer ? (dans le respect du cadre)",Excellent,Confirmé,Standard,5,Promouvant,8.02,8.23,9.86,8.91,4,1,Positif,188,Test accepté,ACRV|segmentation|conformite|questionnement
CONV_1036,REP_206,CLIENT_004,2026-01-15,Vitonic Allaitement B45,Allaitement – support nutritionnel,Gynéco,autre,Trop de produits post-partum sur le marché,"Je vous remercie de soulever ce point. Quel besoin prioritaire identifiez-vous chez vos patientes ? Cadrage sur 1 besoin prioritaire avec micro-test sur 2 patientes. Est-ce que sur ce besoin précis, ça mérite un test ? (dans le cadre de l'AMM)",Excellent,Expert,Standard,4,Promouvant,7.48,10.0,8.78,8.82,4,1,Positif,214,Engagement obtenu,ACRV|closing|conformite|questionnement
CONV_1037,REP_207,CLIENT_221,2026-01-01,Pédiakids Crème change 40g,Dermite du siège – topique,Pédiatre,temps,Les parents changent de marque tout le temps,"Je comprends tout à fait votre préoccupation. Pourquoi changent-ils selon vous, le prix ou l'efficacité perçue ? Mettre en avant la routine, le conseil simple et le suivi observance. Avec ce message de routine, pensez-vous pouvoir fidéliser ces familles ?",Excellent,Expert,Standard,5,Contrôlant,9.25,9.43,8.24,8.85,4,1,Positif,189,Engagement obtenu,ACRV|conformite|questionnement
CONV_1038,REP_208,CLIENT_077,2026-01-29,Omévie Oméga3 1000 B30,Oméga-3 – adulte,MG,tolerance,Problème de reflux et d'odeur signalé,"C'est une objection fréquente. C'est fréquent chez quel type de patients dans votre pratique ? Conseil prise au repas et adaptation du schéma pour le confort. Avec ce conseil pratique, pensez-vous que ça améliorerait la tolérance ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,4,Promouvant,5.6,7.87,5.84,6.39,4,1,Neutre,286,Test accepté,ACRV|conformite|questionnement
CONV_1039,REP_209,CLIENT_177,2026-01-31,Pédiakids Apitou N1 N2 150ml,Toux pédiatrique – sèche/grasse,MG,autre,Je ne veux pas multiplier les références pédiatriques,"Votre point est tout à fait valable. Vous préférez une règle simple pour choisir ? 1 règle de tri claire entre les deux références et plan B. Avec cette règle simple, est-ce que ça facilite votre choix ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,4,Promouvant,6.93,7.05,6.24,6.66,3,1,Positif,290,Test accepté,ACRV|conformite
CONV_1040,REP_210,CLIENT_019,2025-09-16,Phytothéra CoQ10 B60,Coenzyme Q10 – support énergétique,MG,autre,Trop de demandes énergie dans ma patientèle,"Je comprends tout à fait votre préoccupation. Quel profil vous priorisez parmi ces demandes ? Segmentation et cadrage des attentes réalistes. Sur ce profil ciblé, est-ce que vous pensez que ça a de la valeur ? (dans le cadre de l'AMM)",Excellent,Expert,Standard,4,Promouvant,7.71,9.75,9.05,8.93,4,1,Positif,132,Test accepté,ACRV|segmentation|conformite|questionnement
CONV_1041,REP_211,CLIENT_155,2025-11-04,Vitonic Grossesse B30,Grossesse – support nutritionnel,Gynéco,tolerance,Les nausées empêchent la prise régulière,"Votre point est tout à fait valable. La prise est plutôt le matin ou le soir selon vos patientes ? Adapter le moment de prise et astuces anti-nausées pratiques. Avec cette adaptation, pensez-vous que l'observance s'améliorerait ? (dans le respect du cadre)",Excellent,Confirmé,Standard,4,Promouvant,9.0,9.64,8.59,9.01,3,1,Neutre,225,Prochain RDV fixé,ACRV|conformite
CONV_1042,REP_212,CLIENT_126,2025-09-24,Vitonic Tonus Plus B30,Tonus – cure énergie,MG,comportement_patient,Mes patients veulent des résultats immédiats,"Je vous remercie de soulever ce point. Qu'attendent-ils exactement comme résultat et dans quel délai ? Recadrage des attentes avec cure test et conseils hygiène de vie. Avec ce cadrage réaliste, pensez-vous qu'ils seraient plus satisfaits ? (selon la notice)",Excellent,Expert,Approfondie,6,Facilitant,9.17,9.49,8.22,8.84,4,1,Neutre,476,Prochain RDV fixé,ACRV|closing|conformite|questionnement
CONV_1043,REP_213,CLIENT_198,2025-12-13,Vitonic Conception B30,Conception – préconception,Gynéco,temps,Mes patientes oublient vite la routine,"C'est une objection fréquente. C'est un oubli pur ou un manque de motivation selon vous ? Rituel de prise, rappel digital et point retour à J+15. Avec ce système de rappel, pensez-vous que l'observance s'améliorerait ? (selon la fiche produit)",Excellent,Confirmé,Standard,5,Promouvant,8.6,8.82,8.66,8.69,3,1,Positif,119,Test accepté,ACRV|conformite
CONV_1044,REP_214,CLIENT_080,2026-01-20,Pédiakids Apigrip 150ml,Pédiatrie – confort saisonnier,Pédiatre,autre,Ils arrêtent dès l'amélioration des symptômes,"Je comprends votre réticence. Vous le voyez souvent dans votre pratique pédiatrique ? Conseil durée d'usage recommandée avec suivi à J+5. Avec ce conseil de durée, est-ce que les parents seraient mieux guidés ? (je vous confirme par la source)",Excellent,Confirmé,Standard,6,Promouvant,9.08,8.64,9.32,9.06,3,1,Positif,141,Prochain RDV fixé,ACRV|conformite
CONV_1045,REP_200,CLIENT_038,2025-12-08,Pédiakids Oméga3 150ml,Oméga-3 – enfant,Pédiatre,securite,Je suis prudent sur les allégations cognitives,"Je comprends tout à fait votre préoccupation. Quel bénéfice support vous semble acceptable pour ces patients ? Cadrage strict sur le support, fiche produit remise et suivi. Dans ce cadre support sans allégation, est-ce acceptable pour vous ? (selon la notice)",Excellent,Expert,Approfondie,5,Facilitant,8.09,9.69,9.07,9.01,4,1,Positif,342,Test accepté,ACRV|conformite|questionnement
CONV_1046,REP_201,CLIENT_196,2026-01-18,LV Phytocalm B30,Calme / stress – support,MG,temps,Je préfère éviter ce type de produits en consultation,"C'est une question légitime et importante. Sur quels profils précis vous accepteriez un support naturel ? Segmentation ciblée avec cure test sur des profils stress léger. Sur ce profil stress léger, est-ce que vous seriez à l'aise ?",Excellent,Expert,Approfondie,5,Promouvant,8.73,9.6,8.57,8.92,4,1,Positif,342,Test accepté,ACRV|closing|segmentation|conformite|questionnement
CONV_1047,REP_202,CLIENT_033,2026-01-07,Oligovit Zinc B15,Zinc – cure courte,Dermato,conviction,Pas convaincu par les données sur le zinc,"Je comprends votre réticence. Quel repère scientifique vous manque pour vous convaincre ? 1 repère ciblé sur l'indication, positionnement clair et suivi. Avec ce repère, est-ce que vous envisageriez un test ?",Excellent,Confirmé,Standard,6,Analysant,9.05,8.36,10.0,9.27,4,1,Positif,78,Test accepté,ACRV|closing|conformite|questionnement
CONV_1048,REP_203,CLIENT_184,2026-01-03,LV Fersang B60,Fer / énergie,MG,habitudes,J'ai mes habitudes avec un autre fer,"Je comprends votre réticence. Sur quels patients vous êtes le moins satisfait en tolérance ou adhésion ? Justement, positionnement en plan B sur ces profils avec suivi à J+7 et J+14. Est-ce que ça répond à votre préoccupation sur ces cas particuliers ? (selon la fiche produit)",Excellent,Confirmé,Approfondie,5,Contrôlant,8.41,8.51,9.64,8.99,4,1,Neutre,380,Test accepté,ACRV|segmentation|conformite|questionnement
CONV_1049,REP_204,CLIENT_015,2025-11-15,LV Tétra B B30,Vitamines B – énergie,MG,autre,Je n'aime pas les compléments vitamines B,"Je vous remercie de soulever ce point. Sur quels cas vous acceptez une aide pratique en support ? Positionnement support avec rappel des limites et suivi à J+14. Dans ce cadre précis, est-ce que ça vous semble acceptable ? (selon la notice)",Excellent,Expert,Approfondie,4,Promouvant,9.04,7.27,8.08,8.08,4,1,Positif,467,Test accepté,ACRV|conformite|questionnement
CONV_1050,REP_205,CLIENT_171,2025-09-03,PULMAX antitussif 150ml,Toux – sirop,Pédiatre,comportement_patient,Les patients s'automédiquent trop,"Je comprends votre réticence. Vous le constatez souvent dans votre pratique ? Message sécurité : bon usage, durée limitée, consulter si persistance. Avec ce cadrage, est-ce que vous seriez à l'aise pour le recommander ? (je vous confirme par la source)",Excellent,Confirmé,Standard,6,Facilitant,8.17,8.88,8.74,8.64,3,1,Positif,190,Test accepté,ACRV|conformite
CONV_1051,REP_206,CLIENT_147,2025-12-01,Oligovit Vitamine C B30,Vitamine C – soutien,MG,autre,Pas d'intérêt clinique démontré,"Je comprends votre réticence. Sur quels cas vous voyez un bénéfice perçu chez vos patients ? Positionnement support avec prudence, pas de promesse clinique. Dans ce cadre support, est-ce que ça vous semble acceptable ? (dans le respect du cadre)",Excellent,Confirmé,Approfondie,5,Promouvant,8.25,9.76,7.9,8.55,4,1,Positif,255,Engagement obtenu,ACRV|conformite|questionnement
CONV_1052,REP_207,CLIENT_049,2026-02-06,Vitonic Allaitement B45,Allaitement – support nutritionnel,MG,autre,Trop de produits post-partum sur le marché,"Je vous remercie de soulever ce point. Quel besoin prioritaire identifiez-vous chez vos patientes ? Cadrage sur 1 besoin prioritaire avec micro-test sur 2 patientes. Est-ce que sur ce besoin précis, ça mérite un test ?",Excellent,Expert,Approfondie,6,Promouvant,9.21,8.91,8.98,9.02,4,1,Positif,385,Engagement obtenu,ACRV|closing|conformite|questionnement
CONV_1053,REP_208,CLIENT_136,2026-01-07,Pédiakids Crème change 40g,Dermite du siège – topique,MG,autre,Ça ne marche pas toujours dans mon expérience,"Je vous remercie de soulever ce point. Sur quel contexte exactement : mycose, irritation, ou allergie ? Clarification diagnostique, orientation si besoin, positionnement en prévention. En prévention sur ce profil, est-ce que vous pensez que ça a sa place ?",Excellent,Expert,Approfondie,4,Facilitant,7.42,8.93,8.88,8.53,4,1,Positif,247,Prochain RDV fixé,ACRV|segmentation|conformite|questionnement
