seq_id,state,label,confidence,stress,slouch_score,spine_angle,arms_crossed_rate,face_touch_rate,niveau_alia,etape_vm,vm_description,coaching_hint
46,upright,0,56.04,43.96,0.3686,2.08,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
47,upright,0,56.16,43.84,0.3252,1.73,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
48,upright,0,55.17,44.83,0.3816,2.32,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
49,upright,0,55.64,44.36,0.3772,2.23,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
50,upright,0,56.64,43.36,0.3109,1.66,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
51,upright,0,54.85,45.15,0.4294,2.46,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
52,upright,0,56.31,43.69,0.3382,2.56,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
53,upright,0,56.49,43.51,0.3145,2.43,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
54,upright,0,55.44,44.56,0.3871,3.04,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
55,upright,0,56.22,43.78,0.3525,1.62,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
56,upright,0,56.0,44.0,0.3349,0.95,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
57,upright,0,56.31,43.69,0.334,1.11,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
58,upright,0,56.2,43.8,0.3411,1.55,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
59,upright,0,56.1,43.9,0.3565,1.84,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
60,upright,0,56.23,43.77,0.3611,2.72,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
61,upright,0,55.4,44.6,0.3935,2.73,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
62,upright,0,56.19,43.81,0.3328,1.21,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
63,upright,0,55.46,44.54,0.3962,1.75,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
64,upright,0,55.93,44.07,0.3495,1.97,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
65,upright,0,56.31,43.69,0.3255,1.03,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
66,upright,0,55.53,44.47,0.3719,2.07,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
67,upright,0,56.18,43.82,0.3273,1.1,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
68,upright,0,55.76,44.24,0.3643,2.19,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
69,upright,0,55.7,44.3,0.3507,1.64,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
70,upright,0,54.48,45.52,0.4086,2.06,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
71,upright,0,56.39,43.61,0.3203,0.9,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
72,upright,0,56.4,43.6,0.3354,1.81,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
73,upright,0,55.31,44.69,0.3821,1.78,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
74,upright,0,55.76,44.24,0.3443,1.19,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
75,upright,0,56.29,43.71,0.3636,1.46,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
76,upright,0,56.27,43.73,0.3256,0.9,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
77,upright,0,55.48,44.52,0.3914,1.99,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
78,upright,0,55.78,44.22,0.3605,1.69,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
79,upright,0,55.99,44.01,0.3874,2.58,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
80,upright,0,56.16,43.84,0.3242,2.47,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
81,upright,0,55.99,44.01,0.3496,2.19,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
82,upright,0,56.45,43.55,0.3264,1.37,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
83,upright,0,55.47,44.53,0.3909,2.43,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
84,upright,0,56.05,43.95,0.3391,1.49,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
85,upright,0,56.2,43.8,0.3499,1.64,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
86,upright,0,55.24,44.76,0.3698,1.76,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
87,upright,0,55.42,44.58,0.3939,2.13,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
88,upright,0,55.45,44.55,0.3681,1.4,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
89,upright,0,56.02,43.98,0.3733,2.03,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
90,upright,0,55.94,44.06,0.3973,2.64,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
91,upright,0,55.7,44.3,0.3855,2.44,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
92,upright,0,55.36,44.64,0.4076,2.65,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
93,upright,0,55.54,44.46,0.3711,2.14,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
94,upright,0,56.3,43.7,0.3445,1.37,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
95,upright,0,55.83,44.17,0.3548,1.52,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
96,upright,0,56.28,43.72,0.3519,2.68,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
97,upright,0,55.71,44.29,0.3565,1.32,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
98,upright,0,55.82,44.18,0.3905,2.34,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
99,upright,0,55.39,44.61,0.4049,1.85,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
100,upright,0,55.85,44.15,0.3701,3.13,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
101,upright,0,56.02,43.98,0.3748,1.86,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
102,upright,0,55.97,44.03,0.3377,1.44,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
103,upright,0,56.09,43.91,0.3466,1.17,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
104,upright,0,55.48,44.52,0.4003,2.4,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
105,upright,0,55.91,44.09,0.367,1.76,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
106,upright,0,55.5,44.5,0.401,3.41,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
107,upright,0,55.89,44.11,0.3595,1.39,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
108,upright,0,55.68,44.32,0.371,2.61,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
109,upright,0,55.42,44.58,0.3911,2.84,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
110,upright,0,56.61,43.39,0.3233,1.82,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
111,upright,0,56.16,43.84,0.322,1.29,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
112,upright,0,56.06,43.94,0.3617,1.76,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
113,upright,0,56.07,43.93,0.3553,1.3,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
114,upright,0,55.32,44.68,0.3758,3.02,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
115,upright,0,55.87,44.13,0.3571,2.08,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
116,upright,0,56.15,43.85,0.341,1.64,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
117,upright,0,55.7,44.3,0.3517,1.64,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
118,upright,0,54.93,45.07,0.423,2.38,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
119,upright,0,56.02,43.98,0.3426,0.79,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
120,upright,0,56.17,43.83,0.3441,1.66,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
121,upright,0,55.77,44.23,0.3495,1.42,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
122,upright,0,55.98,44.02,0.3661,3.03,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
123,upright,0,56.16,43.84,0.3487,2.36,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
124,upright,0,55.9,44.1,0.3868,2.69,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
125,upright,0,55.93,44.07,0.3744,1.52,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
126,upright,0,55.96,44.04,0.3437,1.55,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
127,upright,0,55.92,44.08,0.3766,2.33,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
128,upright,0,55.86,44.14,0.3557,1.94,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
129,upright,0,55.32,44.68,0.3821,2.1,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
130,upright,0,56.24,43.76,0.3241,1.39,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
131,upright,0,55.88,44.12,0.367,2.26,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
132,upright,0,55.5,44.5,0.3886,1.89,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
133,upright,0,55.97,44.03,0.3703,2.05,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
134,upright,0,55.9,44.1,0.3554,2.46,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
135,upright,0,56.34,43.66,0.302,1.08,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
136,upright,0,56.14,43.86,0.3305,1.27,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
137,upright,0,56.14,43.86,0.3371,0.87,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
138,upright,0,56.56,43.44,0.3165,1.35,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
139,upright,0,55.22,44.78,0.3948,1.73,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
140,upright,0,55.94,44.06,0.3522,2.04,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
141,upright,0,55.94,44.06,0.35,1.61,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
142,upright,0,54.99,45.01,0.3735,2.21,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
143,upright,0,56.25,43.75,0.3178,1.56,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
144,upright,0,55.71,44.29,0.3774,2.19,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
145,upright,0,54.65,45.35,0.409,2.65,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
146,upright,0,55.56,44.44,0.3924,2.86,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
147,upright,0,56.2,43.8,0.3295,1.49,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
148,upright,0,56.03,43.97,0.3443,1.49,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
149,upright,0,55.63,44.37,0.3694,2.89,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
150,upright,0,56.03,43.97,0.3779,2.13,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
151,upright,0,55.72,44.28,0.3676,1.82,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
152,upright,0,56.16,43.84,0.3283,1.17,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
153,upright,0,56.09,43.91,0.329,1.39,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
154,upright,0,55.48,44.52,0.3736,2.01,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
155,upright,0,56.22,43.78,0.3217,1.03,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
156,upright,0,55.94,44.06,0.3371,1.1,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
157,upright,0,56.4,43.6,0.3203,1.61,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
158,upright,0,55.41,44.59,0.3803,2.02,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
159,upright,0,55.47,44.53,0.3762,1.87,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
160,upright,0,55.56,44.44,0.3507,1.11,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
161,upright,0,55.5,44.5,0.405,2.34,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
162,upright,0,55.87,44.13,0.3603,1.46,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
163,upright,0,55.67,44.33,0.3809,1.21,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
164,upright,0,56.1,43.9,0.3535,1.53,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
165,neutral,1,56.6,43.4,0.259,1.69,1.0,0.0,Junior,2,Posture correcte — sondage et synthèse,Posture acceptable — ouvrez légèrement les épaules pour projeter plus de confiance.
166,neutral,1,56.61,43.39,0.2779,2.18,1.0,0.0,Junior,4,Posture correcte — sondage et synthèse,Posture acceptable — ouvrez légèrement les épaules pour projeter plus de confiance.
167,neutral,1,57.29,42.71,0.2302,1.22,1.0,0.0,Junior,3,Posture correcte — sondage et synthèse,Posture acceptable — ouvrez légèrement les épaules pour projeter plus de confiance.
