conversation_id,rep_id,client_id,date,product,objection_type,objection_text,rep_response,response_quality,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,client_sentiment,conversation_duration_sec,outcome,conversation_transcript,skill_tags,year,month,month_name,week,day_of_week,duration_minutes,duration_category,objection_difficulty,objection_text_len,response_len_chars,response_len_words,transcript_len_chars,has_empathy,has_data_args,has_followup_q,has_solution,is_vague,argumentation_richness,response_to_objection_ratio,info_density,nb_skill_tags,tag_argumentation_solide,tag_argumentation_correcte,tag_reponse_scientifique,tag_empathie_client,tag_informations_basiques,tag_reponse_vague,tag_manque_preparation,skill_level,quality_label,is_success,is_success_broad,sentiment_label,context_weighted_score,above_success_threshold
CONV00236,REP013,CLI0119,2025-08-25,OLIGOVIT Trio,Marque inconnue,Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,Bon,6.3,8.0,6.0,6.8,Négatif,421,À rappeler,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,35,Monday,7.02,Standard (6-10 min),Difficile,85,72,11,324,0,0,0,0,0,0,0.84,1.54,2,0,1,0,0,1,0,0,Confirmé,1,0,0,-1,6.68,0
CONV00053,REP005,CLI0122,2025-08-27,PHYTOFANE Lotion anti chute,Concurrence,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Notre produit a une meilleure formulation et plus d'actifs. La qualité est vraiment supérieure.,Bon,6.4,7.4,6.5,6.8,Neutre,178,Intérêt Modéré,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Notre produit a une meilleure formulation et plus d'actifs. La qualité est vraiment supérieure.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,35,Wednesday,2.97,Très courte (<3 min),Standard,88,95,14,364,0,0,0,0,0,0,1.07,4.56,2,0,1,0,0,1,0,0,Confirmé,1,0,1,0,6.75,0
CONV00112,REP014,CLI0091,2025-08-28,LV Fersang junior,Effets Secondaires,J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?,"C'est un produit sûr, bien testé. Il n'y a pas d'effets secondaires majeurs.",Bon,7.8,6.1,5.6,6.5,Positif,504,À rappeler,"Délégué: Bonjour, je viens vous présenter LV Fersang junior. C'est un excellent produit pour [indication].
Client: J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?
Délégué: C'est un produit sûr, bien testé. Il n'y a pas d'effets secondaires majeurs.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,35,Thursday,8.4,Standard (6-10 min),Standard,78,76,13,325,0,0,0,0,0,0,0.96,1.53,2,0,1,0,0,1,0,0,Confirmé,1,0,0,1,6.3,0
CONV00050,REP019,CLI0145,2025-08-29,"Echinacée, Zinc, Vit.C",Prix élevé,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.9,9.7,8.4,9.0,Positif,133,Intérêt Fort,"Délégué: Bonjour, je viens vous présenter Echinacée, Zinc, Vit.C. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.
Client: Je vois... [suite de la conversation]","Argumentation solide, Réponse scientifique, Empathie client",2025,8,August,35,Friday,2.22,Très courte (<3 min),Standard,84,307,41,567,1,1,0,0,0,2,3.61,17.67,3,1,0,1,1,0,0,0,Expert,2,1,1,1,8.91,1
CONV00070,REP021,CLI0151,2025-08-29,Omevie Omega 3 – 1000,Stock suffisant,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Pas de problème, je repasserai.",Faible,4.3,4.6,3.9,4.3,Neutre,531,Objections non résolues,"Délégué: Bonjour, je viens vous présenter Omevie Omega 3 – 1000. C'est un excellent produit pour [indication].
Client: J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.
Délégué: Pas de problème, je repasserai.
Client: Je vois... [suite de la conversation]","Réponse vague, Manque de préparation",2025,8,August,35,Friday,8.85,Standard (6-10 min),Difficile,74,31,5,280,0,0,0,0,0,0,0.41,0.56,2,0,0,0,0,0,1,1,À améliorer,0,0,0,0,4.21,0
CONV00325,REP009,CLI0067,2025-08-31,OLIGOVIT Trio,Demande Faible,"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.","C'est un bon produit, les clients vont l'acheter.",Faible,5.0,3.6,3.6,4.1,Neutre,484,Pas intéressé,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: C'est un bon produit, les clients vont l'acheter.
Client: Je vois... [suite de la conversation]","Réponse vague, Manque de préparation",2025,8,August,35,Sunday,8.07,Standard (6-10 min),Standard,83,49,8,299,0,0,0,0,0,0,0.58,0.98,2,0,0,0,0,0,1,1,À améliorer,0,0,0,0,3.95,0
CONV00109,REP023,CLI0030,2025-08-31,LV Fersang junior,Posologie complexe,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est écrit sur la boîte.,Faible,4.7,5.6,3.3,4.5,Positif,453,Pas intéressé,"Délégué: Bonjour, je viens vous présenter LV Fersang junior. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est écrit sur la boîte.
Client: Je vois... [suite de la conversation]","Réponse vague, Manque de préparation",2025,8,August,35,Sunday,7.55,Standard (6-10 min),Difficile,75,25,5,271,0,0,0,0,0,0,0.33,0.65,2,0,0,0,0,0,1,1,À améliorer,0,0,0,1,4.34,0
CONV00381,REP005,CLI0172,2025-08-31,OLIGOVIT Trio,Effets Secondaires,J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?,"OLIGOVIT Trio est un complément alimentaire avec un excellent profil de sécurité. Les études cliniques n'ont montré aucun effet indésirable significatif. Les seules précautions sont les contre-indications classiques pour les femmes enceintes et les allergies aux composants, clairement indiquées sur la notice. Plus de 50 000 patients ont utilisé ce produit sans incident.",Excellent,9.2,9.8,8.6,9.2,Positif,240,Intérêt Fort,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?
Délégué: OLIGOVIT Trio est un complément alimentaire avec un excellent profil de sécurité. Les études cliniques n'ont montré aucun effet indésirable significatif. Les seules précautions sont les contre-indications classiques pour les femmes enceintes et les allergies aux composants, clairement indiquées sur la notice. Plus de 50 000 patients ont utilisé ce produit sans incident.
Client: Je vois... [suite de la conversation]","Argumentation solide, Réponse scientifique, Empathie client",2025,8,August,35,Sunday,4.0,Courte (3-6 min),Standard,78,372,53,617,0,1,0,0,0,1,4.71,12.93,3,1,0,1,1,0,0,0,Expert,2,1,1,1,9.11,1
CONV00257,REP023,CLI0034,2025-09-01,PHYTOFANE Lotion anti chute,Posologie complexe,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,9.9,8.5,9.3,9.2,Neutre,274,Intérêt Fort,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?
Client: Je vois... [suite de la conversation]","Argumentation solide, Réponse scientifique, Empathie client",2025,9,September,36,Monday,4.57,Courte (3-6 min),Difficile,75,284,45,540,0,0,1,0,0,1,3.74,9.64,3,1,0,1,1,0,0,0,Expert,2,1,1,0,9.21,1
CONV00052,REP012,CLI0058,2025-09-01,LV Vitamine A,Prix élevé,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"C'est vrai que le prix est un peu plus élevé, mais la qualité est supérieure. Nos clients fidèles apprécient l'efficacité du produit.",Bon,7.3,7.5,6.9,7.2,Neutre,155,Intérêt Modéré,"Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: C'est vrai que le prix est un peu plus élevé, mais la qualité est supérieure. Nos clients fidèles apprécient l'efficacité du produit.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,9,September,36,Monday,2.58,Très courte (<3 min),Standard,84,133,22,384,0,0,0,0,0,0,1.56,8.21,2,0,1,0,0,1,0,0,Confirmé,1,0,1,0,7.18,0
CONV00372,REP010,CLI0230,2025-09-01,LV Vitamine A,Marque inconnue,Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,Bon,6.2,6.2,6.9,6.4,Neutre,218,Demande info,"Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,9,September,36,Monday,3.63,Courte (3-6 min),Difficile,85,72,11,324,0,0,0,0,0,0,0.84,2.95,2,0,1,0,0,1,0,0,Confirmé,1,0,1,0,6.52,0
CONV00337,REP004,CLI0094,2025-09-01,Vitonic Tonus,Prix élevé,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Vitonic Tonus contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.8,8.5,9.1,9.1,Neutre,525,Commande,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Je comprends votre préoccupation. Cependant, Vitonic Tonus contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.
Client: Je vois... [suite de la conversation]","Argumentation solide, Réponse scientifique, Empathie client",2025,9,September,36,Monday,8.75,Standard (6-10 min),Standard,84,298,40,549,1,1,0,0,0,2,3.51,4.52,3,1,0,1,1,0,0,0,Expert,2,1,1,0,9.09,1
CONV00389,REP002,CLI0011,2025-09-01,LV CYSPROTECT,Marque inconnue,Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?,Excellent,9.9,9.3,8.5,9.2,Négatif,285,Rendez-vous futur,"Délégué: Bonjour, je viens vous présenter LV CYSPROTECT. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?
Client: Je vois... [suite de la conversation]","Argumentation solide, Réponse scientifique, Empathie client",2025,9,September,36,Monday,4.75,Courte (3-6 min),Difficile,85,391,59,643,1,0,1,0,1,2,4.55,12.16,3,1,0,1,1,0,0,0,Expert,2,1,1,-1,9.09,1
CONV00379,REP007,CLI0106,2025-09-02,OLIGOVIT Trio,Stock suffisant,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"D'accord, je peux repasser le mois prochain. Gardez notre produit en tête.",Bon,6.3,6.4,6.7,6.5,Neutre,555,Intérêt Modéré,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.
Délégué: D'accord, je peux repasser le mois prochain. Gardez notre produit en tête.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,9,September,36,Tuesday,9.25,Standard (6-10 min),Difficile,74,74,12,315,0,0,0,0,1,0,0.99,1.28,2,0,1,0,0,1,0,0,Confirmé,1,0,1,0,6.51,0
CONV00056,REP003,CLI0130,2025-09-02,OLIGOVIT Trio,Posologie complexe,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,8.8,9.0,8.9,8.9,Positif,294,Intérêt Fort,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?
Client: Je vois... [suite de la conversation]","Argumentation solide, Réponse scientifique, Empathie client",2025,9,September,36,Tuesday,4.9,Courte (3-6 min),Difficile,75,284,45,526,0,0,1,0,0,1,3.74,9.0,3,1,0,1,1,0,0,0,Expert,2,1,1,1,8.91,1
CONV00128,REP010,CLI0020,2025-09-02,OLIGOVIT Trio,Prix élevé,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Oui, c'est un peu cher, mais c'est un bon produit.",Faible,3.3,4.8,3.2,3.8,Neutre,562,Refus,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Oui, c'est un peu cher, mais c'est un bon produit.
Client: Je vois... [suite de la conversation]","Réponse vague, Manque de préparation",2025,9,September,36,Tuesday,9.37,Standard (6-10 min),Standard,84,50,10,301,0,0,0,0,0,0,0.59,1.06,2,0,0,0,0,0,1,1,À améliorer,0,0,0,0,3.7,0
CONV00149,REP002,CLI0193,2025-09-02,Omevie Omega 3 – 1000,Marque inconnue,Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?,Excellent,9.7,8.1,9.3,9.0,Neutre,217,Intérêt Fort,"Délégué: Bonjour, je viens vous présenter Omevie Omega 3 – 1000. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?
Client: Je vois... [suite de la conversation]","Argumentation solide, Réponse scientifique, Empathie client",2025,9,September,36,Tuesday,3.62,Courte (3-6 min),Difficile,85,391,59,651,1,0,1,0,1,2,4.55,15.86,3,1,0,1,1,0,0,0,Expert,2,1,1,0,9.04,1
CONV00154,REP003,CLI0061,2025-09-02,Vitonic Tonus,Prix élevé,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"C'est vrai que le prix est un peu plus élevé, mais la qualité est supérieure. Nos clients fidèles apprécient l'efficacité du produit.",Bon,7.9,6.1,5.3,6.4,Positif,307,À rappeler,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: C'est vrai que le prix est un peu plus élevé, mais la qualité est supérieure. Nos clients fidèles apprécient l'efficacité du produit.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,9,September,36,Tuesday,5.12,Courte (3-6 min),Standard,84,133,22,384,0,0,0,0,0,0,1.56,4.21,2,0,1,0,0,1,0,0,Confirmé,1,0,0,1,6.19,0
CONV00204,REP002,CLI0089,2025-09-03,LV CYSPROTECT,Posologie complexe,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est assez simple en fait : 2 fois par jour. La notice explique bien.,Bon,7.0,7.4,5.8,6.7,Positif,463,À rappeler,"Délégué: Bonjour, je viens vous présenter LV CYSPROTECT. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est assez simple en fait : 2 fois par jour. La notice explique bien.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,9,September,36,Wednesday,7.72,Standard (6-10 min),Difficile,75,70,14,312,0,0,0,0,0,0,0.92,1.79,2,0,1,0,0,1,0,0,Confirmé,1,0,0,1,6.58,0
