conversation_id,rep_id,client_id,date,month,month_name,product,objection_type,objection_difficulty,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,context_weighted_score,response_quality,quality_label,client_sentiment,sentiment_label,outcome,is_success,is_success_broad,objection_text_len,response_len_chars,response_len_words,response_to_objection_ratio,info_density,has_empathy,has_data_args,has_followup_q,has_solution,is_vague,argumentation_richness,skill_level,nb_skill_tags,tag_argumentation_solide,tag_argumentation_correcte,tag_reponse_scientifique,tag_empathie_client,tag_informations_basiques,tag_reponse_vague,tag_manque_preparation,duration_minutes,duration_category,objection_text,rep_response,conversation_transcript
CONV00288,REP002,CLI0158,2025-09-09,9,September,Vitonic Tonus,Marque inconnue,Difficile,8.6,8.8,9.1,8.8,8.88,Excellent,2,Neutre,0,Commande,1,1,85,391,59,4.55,8.03,1,0,1,0,1,2,Expert,3,1,0,1,1,0,0,0,7.25,Standard (6-10 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?
Client: Je vois... [suite de la conversation]"
CONV00168,REP010,CLI0099,2025-09-10,9,September,LV Vitamine A,Efficacité douteuse,Standard,9.7,8.3,8.7,8.9,8.83,Excellent,2,Négatif,-1,Rendez-vous futur,1,1,92,315,46,3.39,8.11,0,1,1,0,0,2,Expert,3,1,0,1,1,0,0,0,5.57,Courte (3-6 min),J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?,Excellente question ! LV Vitamine A a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?,"Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?
Délégué: Excellente question ! LV Vitamine A a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?
Client: Je vois... [suite de la conversation]"
CONV00078,REP001,CLI0162,2025-09-12,9,September,LV Fersang junior,Marque inconnue,Difficile,8.3,9.1,9.1,8.8,8.9,Excellent,2,Neutre,0,Commande,1,1,85,391,59,4.55,6.61,1,0,1,0,1,2,Expert,3,1,0,1,1,0,0,0,8.82,Standard (6-10 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?,"Délégué: Bonjour, je viens vous présenter LV Fersang junior. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?
Client: Je vois... [suite de la conversation]"
CONV00151,REP003,CLI0111,2025-09-13,9,September,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,8.6,8.2,8.7,8.5,8.52,Excellent,2,Positif,1,Intérêt Fort,1,1,92,324,46,3.48,5.04,0,1,1,0,0,2,Expert,3,1,0,1,1,0,0,0,9.02,Standard (6-10 min),J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?,"Excellente question ! Echinacée, Zinc, Vit.C a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?","Délégué: Bonjour, je viens vous présenter Echinacée, Zinc, Vit.C. C'est un excellent produit pour [indication].
Client: J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?
Délégué: Excellente question ! Echinacée, Zinc, Vit.C a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?
Client: Je vois... [suite de la conversation]"
CONV00207,REP013,CLI0173,2025-09-13,9,September,Omevie Omega 3 – 1000,Prix élevé,Standard,8.1,9.6,9.2,9.0,9.04,Excellent,2,Neutre,0,Rendez-vous futur,1,1,84,306,43,3.6,5.95,1,1,0,0,0,2,Expert,3,1,0,1,1,0,0,0,7.13,Standard (6-10 min),Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Omevie Omega 3 – 1000 contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.","Délégué: Bonjour, je viens vous présenter Omevie Omega 3 – 1000. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Je comprends votre préoccupation. Cependant, Omevie Omega 3 – 1000 contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.
Client: Je vois... [suite de la conversation]"
CONV00367,REP005,CLI0042,2025-09-18,9,September,Omevie Omega 3 – 1000,Demande Faible,Standard,8.7,9.4,8.3,8.8,8.73,Excellent,2,Négatif,-1,Commande,1,1,83,343,59,4.08,6.33,1,1,1,0,0,3,Expert,3,1,0,1,1,0,0,0,9.22,Standard (6-10 min),"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.","Je comprends. C'est justement une opportunité ! La demande est faible car les clients ne connaissent pas encore le produit. Nous proposons un kit de 5 affiches et des échantillons gratuits pour créer la demande. Dans les pharmacies qui ont utilisé ce kit, les ventes ont augmenté de 60% en 2 mois. Puis-je vous montrer notre plan d'animation ?","Délégué: Bonjour, je viens vous présenter Omevie Omega 3 – 1000. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: Je comprends. C'est justement une opportunité ! La demande est faible car les clients ne connaissent pas encore le produit. Nous proposons un kit de 5 affiches et des échantillons gratuits pour créer la demande. Dans les pharmacies qui ont utilisé ce kit, les ventes ont augmenté de 60% en 2 mois. Puis-je vous montrer notre plan d'animation ?
Client: Je vois... [suite de la conversation]"
CONV00177,REP024,CLI0014,2025-09-18,9,September,PHYTOFANE Lotion anti chute,Demande Faible,Standard,9.3,9.2,9.7,9.4,9.45,Excellent,2,Neutre,0,Commande,1,1,83,343,59,4.08,9.55,1,1,1,0,0,3,Expert,3,1,0,1,1,0,0,0,6.08,Standard (6-10 min),"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.","Je comprends. C'est justement une opportunité ! La demande est faible car les clients ne connaissent pas encore le produit. Nous proposons un kit de 5 affiches et des échantillons gratuits pour créer la demande. Dans les pharmacies qui ont utilisé ce kit, les ventes ont augmenté de 60% en 2 mois. Puis-je vous montrer notre plan d'animation ?","Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: Je comprends. C'est justement une opportunité ! La demande est faible car les clients ne connaissent pas encore le produit. Nous proposons un kit de 5 affiches et des échantillons gratuits pour créer la demande. Dans les pharmacies qui ont utilisé ce kit, les ventes ont augmenté de 60% en 2 mois. Puis-je vous montrer notre plan d'animation ?
Client: Je vois... [suite de la conversation]"
CONV00036,REP009,CLI0046,2025-09-19,9,September,LV Fersang junior,Prix élevé,Standard,9.2,8.7,9.6,9.2,9.23,Excellent,2,Neutre,0,Intérêt Fort,1,1,84,302,41,3.55,9.43,1,1,0,0,0,2,Expert,3,1,0,1,1,0,0,0,4.25,Courte (3-6 min),Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, LV Fersang junior contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.","Délégué: Bonjour, je viens vous présenter LV Fersang junior. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Je comprends votre préoccupation. Cependant, LV Fersang junior contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.
Client: Je vois... [suite de la conversation]"
CONV00103,REP008,CLI0033,2025-09-23,9,September,OLIGOVIT Trio,Prix élevé,Standard,9.5,8.4,8.4,8.8,8.68,Excellent,2,Positif,1,Commande,1,1,84,298,40,3.51,10.39,1,1,0,0,0,2,Expert,3,1,0,1,1,0,0,0,3.75,Courte (3-6 min),Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, OLIGOVIT Trio contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.","Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Je comprends votre préoccupation. Cependant, OLIGOVIT Trio contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.
Client: Je vois... [suite de la conversation]"
CONV00156,REP017,CLI0100,2025-09-24,9,September,LV CYSPROTECT,Concurrence,Standard,8.5,8.9,10.0,9.1,9.3,Excellent,2,Négatif,-1,Intérêt Fort,1,1,88,357,51,4.01,16.45,0,1,0,0,0,1,Expert,3,1,0,1,1,0,0,0,3.0,Courte (3-6 min),Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : LV CYSPROTECT utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,"Délégué: Bonjour, je viens vous présenter LV CYSPROTECT. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Je connais bien ce produit concurrent. La différence principale est dans la formulation : LV CYSPROTECT utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.
Client: Je vois... [suite de la conversation]"
CONV00378,REP001,CLI0142,2025-09-25,9,September,OLIGOVIT Trio,Demande Faible,Standard,8.0,9.2,9.1,8.8,8.86,Excellent,2,Négatif,-1,Commande,1,1,83,343,59,4.08,17.88,1,1,1,0,0,3,Expert,3,1,0,1,1,0,0,0,3.2,Courte (3-6 min),"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.","Je comprends. C'est justement une opportunité ! La demande est faible car les clients ne connaissent pas encore le produit. Nous proposons un kit de 5 affiches et des échantillons gratuits pour créer la demande. Dans les pharmacies qui ont utilisé ce kit, les ventes ont augmenté de 60% en 2 mois. Puis-je vous montrer notre plan d'animation ?","Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: Je comprends. C'est justement une opportunité ! La demande est faible car les clients ne connaissent pas encore le produit. Nous proposons un kit de 5 affiches et des échantillons gratuits pour créer la demande. Dans les pharmacies qui ont utilisé ce kit, les ventes ont augmenté de 60% en 2 mois. Puis-je vous montrer notre plan d'animation ?
Client: Je vois... [suite de la conversation]"
CONV00218,REP013,CLI0097,2025-09-26,9,September,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,8.0,8.3,9.0,8.4,8.54,Excellent,2,Négatif,-1,Intérêt Fort,1,1,92,324,46,3.48,7.48,0,1,1,0,0,2,Expert,3,1,0,1,1,0,0,0,6.05,Standard (6-10 min),J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?,"Excellente question ! Echinacée, Zinc, Vit.C a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?","Délégué: Bonjour, je viens vous présenter Echinacée, Zinc, Vit.C. C'est un excellent produit pour [indication].
Client: J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?
Délégué: Excellente question ! Echinacée, Zinc, Vit.C a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?
Client: Je vois... [suite de la conversation]"
CONV00215,REP001,CLI0137,2025-09-26,9,September,LV Vitamine A,Marque inconnue,Difficile,9.1,8.5,10.0,9.2,9.32,Excellent,2,Négatif,-1,Commande,1,1,85,391,59,4.55,10.54,1,0,1,0,1,2,Expert,3,1,0,1,1,0,0,0,5.5,Courte (3-6 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?,"Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?
Client: Je vois... [suite de la conversation]"
