client_id,client_type,client_name,owner_name,specialty_type,specialty_macro,crm_segment,governorate,delegation,languages_list,primary_language,nb_languages,speaks_french,speaks_arabic,speaks_english,preferred_products_list,nb_preferred_products,is_multi_product,engagement_level,engagement_score_num,patients_per_month,patient_volume_category,total_visits,days_since_last_visit,recency_category,is_pharmacy,is_doctor,is_specialist
CLI0132,Pharmacie,Para-Pharmacie de la Liberté,Ahmed Hamdi,Parapharmacie,Pharmacie,Pharmacie Partenaire,Ben Arous,El Mourouj,['Arabe'],Arabe,1,0,1,0,"['LV Psolcalm', 'Omevie Omega 3 – 1000']",2,1,Élevé,3,2136,Haute fréquentation,23,18,Récent (≤30j),1,0,0
CLI0097,Pharmacie,Pharmacie du Bonheur,Rami Gharbi,Pharmacie Générale,Médecine Générale,Pharmacie Partenaire,Bizerte,Ras Jebel,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,"['PHYTOFANE Lotion anti chute', 'OLIGOVIT Trio', 'Vitonic Tonus']",3,1,Élevé,3,1132,Fréquentation moyenne,23,22,Récent (≤30j),1,0,0
CLI0143,Pharmacie,Para-Pharmacie de la Victoire,Youssef Khelifi,Parapharmacie,Pharmacie,Pharmacie Partenaire,Bizerte,Jarzouna,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,['Omevie Omega 3 – 1000'],1,0,Élevé,3,2420,Haute fréquentation,22,18,Récent (≤30j),1,0,0
CLI0011,Pharmacie,Para-Pharmacie de la Santé,Amira Hamdi,Parapharmacie,Pharmacie,Pharmacie Partenaire,Manouba,Douar Hicher,['Arabe'],Arabe,1,0,1,0,"['OLIGOVIT Trio', 'LV Fersang junior', 'LV Vitamine A']",3,1,Élevé,3,2712,Haute fréquentation,24,24,Récent (≤30j),1,0,0
CLI0055,Pharmacie,Pharmacie Principale,Rami Cherif,Parapharmacie,Pharmacie,Pharmacie Partenaire,Monastir,Jemmal,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,"['LV Psolcalm', 'Echinacée', 'Zinc', 'Vit.C', 'LV Vitamine A']",5,1,Élevé,3,1924,Haute fréquentation,21,13,Récent (≤30j),1,0,0
CLI0088,Pharmacie,Para-Pharmacie Carthage,Mohamed Mansouri,Parapharmacie,Pharmacie,Pharmacie Partenaire,Monastir,Monastir,['Français'],Français,1,1,0,0,['PHYTOFANE Lotion anti chute'],1,0,Élevé,3,1837,Haute fréquentation,23,20,Récent (≤30j),1,0,0
CLI0101,Pharmacie,Para-Pharmacie de la Paix,Nadia Ben Ali,Parapharmacie,Pharmacie,Pharmacie Partenaire,Nabeul,Grombalia,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,['TC 2000 Nutractiva'],1,0,Élevé,3,2298,Haute fréquentation,15,22,Récent (≤30j),1,0,0
CLI0036,Pharmacie,Pharmacie Ibn Sina,Leila Gharbi,Pharmacie de Nuit,Pharmacie,Pharmacie Partenaire,Sfax,Thyna,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,['LV Fersang junior'],1,0,Élevé,3,3076,Très haute fréquentation,19,13,Récent (≤30j),1,0,0
CLI0078,Pharmacie,Para-Pharmacie du Lac,Leila Trabelsi,Pharmacie de Quartier,Pharmacie,Pharmacie Partenaire,Sousse,Hammam Sousse,['Arabe'],Arabe,1,0,1,0,"['Hydra eau micellaire', 'Huile de Menthe', 'PHYTOFANE Lotion anti chute']",3,1,Élevé,3,2165,Haute fréquentation,21,31,Normal (31-60j),1,0,0
CLI0105,Pharmacie,Para-Pharmacie Manar,Nadia Abidi,Pharmacie Générale,Médecine Générale,Pharmacie Partenaire,Tunis,El Menzah,['Arabe'],Arabe,1,0,1,0,"['LV Sélénium A', 'C', 'E Anti-âge', 'Hydra eau micellaire']",4,1,Élevé,3,1581,Haute fréquentation,17,15,Récent (≤30j),1,0,0
CLI0158,Cabinet Médical,Pr. Mohamed Elloumi,Pr. Mohamed Elloumi,Pédiatrie,Pédiatrie,Médecin Développement,Ariana,Ettadhamen,['Arabe'],Arabe,1,0,1,0,"['LV Fersang junior', 'Vitonic Tonus']",2,1,Moyen,2,205,Cabinet modéré,17,77,À relancer (61-90j),0,1,1
CLI0207,Cabinet Médical,Dr. Karim Belhadj,Dr. Karim Belhadj,Urologie,Urologie,Médecin Développement,Ariana,Kalâat El-Andalous,"['Français', 'Arabe']",Français,2,1,1,0,"['LV Sélénium A', 'C', 'E Anti-âge', 'PHYTOFANE Lotion anti chute', 'Hydra eau micellaire']",5,1,Moyen,2,685,Cabinet très actif,13,67,À relancer (61-90j),0,1,1
CLI0216,Cabinet Médical,Dr. Mohamed Farhat,Dr. Mohamed Farhat,Ophtalmologie,Ophtalmologie,Médecin Développement,Ariana,Ariana Ville,['Arabe'],Arabe,1,0,1,0,['LV Fersang Gélule'],1,0,Moyen,2,196,Cabinet modéré,17,58,Normal (31-60j),0,1,1
CLI0157,Cabinet Médical,Pr. Sonia Chouchane,Pr. Sonia Chouchane,ORL,ORL,Médecin Développement,Ben Arous,Mégrine,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,"['LV Sélénium A', 'C', 'E Anti-âge', 'Huile de Menthe']",4,1,Moyen,2,293,Cabinet modéré,14,47,Normal (31-60j),0,1,1
CLI0179,Cabinet Médical,Pr. Amira Farhat,Pr. Amira Farhat,Dermatologie,Dermatologie,Médecin Développement,Ben Arous,Hammam Lif,['Français'],Français,1,1,0,0,"['PHYTOFANE Lotion anti chute', 'Echinacée', 'Zinc', 'Vit.C']",4,1,Moyen,2,515,Cabinet actif,7,73,À relancer (61-90j),0,1,1
CLI0198,Cabinet Médical,Pr. Karim Elloumi,Pr. Karim Elloumi,ORL,ORL,Médecin Développement,Ben Arous,Ben Arous,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,"['Echinacée', 'Zinc', 'Vit.C', 'Vitonic Tonus', 'OLIGOVIT Trio']",5,1,Moyen,2,735,Cabinet très actif,12,64,À relancer (61-90j),0,1,1
CLI0229,Cabinet Médical,Pr. Leila Amari,Pr. Leila Amari,Cardiologie,Cardiologie,Médecin Développement,Ben Arous,Ben Arous,['Arabe'],Arabe,1,0,1,0,"['LV Sélénium A', 'C', 'E Anti-âge', 'Omevie Omega 3 – 1000']",4,1,Moyen,2,738,Cabinet très actif,10,74,À relancer (61-90j),0,1,1
CLI0170,Cabinet Médical,Dr. Amira Elloumi,Dr. Amira Elloumi,Gastro-entérologie,Gastro-entérologie,Médecin Développement,Bizerte,Menzel Bourguiba,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,"['Hydra eau micellaire', 'LV Fersang junior']",2,1,Moyen,2,767,Cabinet très actif,8,26,Récent (≤30j),0,1,1
CLI0199,Cabinet Médical,Dr. Mehdi Chouchane,Dr. Mehdi Chouchane,Gynécologie,Gynécologie,Médecin Développement,Bizerte,Ghezala,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,"['LV Fersang junior', 'Vitonic Tonus', 'Huile de Menthe']",3,1,Moyen,2,722,Cabinet très actif,12,62,À relancer (61-90j),0,1,1
CLI0222,Cabinet Médical,Pr. Amira Belhadj,Pr. Amira Belhadj,Rhumatologie,Rhumatologie / Orthopédie,Médecin Développement,Bizerte,Bizerte Nord,"['Français', 'Arabe']",Français,2,1,1,0,"['PHYTOFANE Lotion anti chute', 'Echinacée', 'Zinc', 'Vit.C', 'OLIGOVIT Trio']",5,1,Moyen,2,548,Cabinet actif,18,76,À relancer (61-90j),0,1,1
CLI0197,Cabinet Médical,Pr. Ahmed Hammami,Pr. Ahmed Hammami,Cardiologie,Cardiologie,Médecin Développement,Gabès,El Hamma,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,"['LV Psolcalm', 'Vitonic Tonus', 'LV Vitamine A']",3,1,Moyen,2,455,Cabinet actif,6,64,À relancer (61-90j),0,1,1
CLI0188,Cabinet Médical,Dr. Sonia Dhouib,Dr. Sonia Dhouib,Dermatologie,Dermatologie,Médecin Développement,Monastir,Ksar Hellal,"['Français', 'Arabe']",Français,2,1,1,0,"['LV CYSPROTECT', 'Echinacée', 'Zinc', 'Vit.C']",4,1,Moyen,2,792,Cabinet très actif,10,53,Normal (31-60j),0,1,1
CLI0191,Cabinet Médical,Pr. Mohamed Farhat,Pr. Mohamed Farhat,Pneumologie,Pneumologie,Médecin Développement,Monastir,Bembla,['Français'],Français,1,1,0,0,"['Echinacée', 'Zinc', 'Vit.C', 'Omevie Omega 3 – 1000']",4,1,Moyen,2,250,Cabinet modéré,6,74,À relancer (61-90j),0,1,1
CLI0204,Cabinet Médical,Pr. Youssef Chouchane,Pr. Youssef Chouchane,Ophtalmologie,Ophtalmologie,Médecin Développement,Monastir,Téboulba,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,"['Echinacée', 'Zinc', 'Vit.C']",3,1,Moyen,2,563,Cabinet actif,9,20,Récent (≤30j),0,1,1
CLI0166,Cabinet Médical,Pr. Ines Dhouib,Pr. Ines Dhouib,Gastro-entérologie,Gastro-entérologie,Médecin Développement,Nabeul,Menzel Bouzelfa,['Arabe'],Arabe,1,0,1,0,['LV CYSPROTECT'],1,0,Moyen,2,709,Cabinet très actif,6,78,À relancer (61-90j),0,1,1
CLI0213,Cabinet Médical,Dr. Mohamed Chouchane,Dr. Mohamed Chouchane,Neurologie,Neurologie,Médecin Développement,Sfax,Sakiet Eddaïer,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,"['LV Vitamine A', 'PédiaKids Gelée royale']",2,1,Moyen,2,478,Cabinet actif,12,77,À relancer (61-90j),0,1,1
CLI0164,Cabinet Médical,Dr. Amira Farhat,Dr. Amira Farhat,ORL,ORL,Médecin Développement,Tunis,Bab Souika,['Français'],Français,1,1,0,0,"['LV Sélénium A', 'C', 'E Anti-âge']",3,1,Moyen,2,579,Cabinet actif,12,73,À relancer (61-90j),0,1,1
CLI0211,Cabinet Médical,Dr. Youssef Karoui,Dr. Youssef Karoui,Gastro-entérologie,Gastro-entérologie,Médecin Développement,Tunis,Bab Bhar,"['Français', 'Arabe']",Français,2,1,1,0,"['LV CYSPROTECT', 'Omevie Omega 3 – 1000']",2,1,Moyen,2,776,Cabinet très actif,6,23,Récent (≤30j),0,1,1
CLI0218,Cabinet Médical,Dr. Mehdi Ghariani,Dr. Mehdi Ghariani,Pneumologie,Pneumologie,Médecin Développement,Tunis,El Kabaria,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,"['LV Sélénium A', 'C', 'E Anti-âge']",3,1,Moyen,2,742,Cabinet très actif,6,60,Normal (31-60j),0,1,1
CLI0228,Cabinet Médical,Dr. Mehdi Jemni,Dr. Mehdi Jemni,Médecine Générale,Médecine Générale,Médecin Développement,Ariana,Ariana Ville,['Arabe'],Arabe,1,0,1,0,"['LV Fersang Gélule', 'Echinacée', 'Zinc', 'Vit.C', 'LV CYSPROTECT']",5,1,Moyen,2,584,Cabinet actif,8,42,Normal (31-60j),0,1,0
CLI0111,Pharmacie,Para-Pharmacie de la République,Nadia Sassi,Pharmacie Générale,Médecine Générale,Pharmacie Active,Ariana,Mnihla,"['Français', 'Arabe']",Français,2,1,1,0,"['PHYTOFANE Lotion anti chute', 'Echinacée', 'Zinc', 'Vit.C', 'Hydra eau micellaire']",5,1,Moyen,2,2154,Haute fréquentation,17,52,Normal (31-60j),1,0,0
CLI0045,Pharmacie,Para-Pharmacie du Soleil,Fatma Abidi,Pharmacie de Nuit,Pharmacie,Pharmacie Active,Ben Arous,Mégrine,['Français'],Français,1,1,0,0,"['Echinacée', 'Zinc', 'Vit.C', 'Omevie Omega 3 – 1000']",4,1,Moyen,2,1228,Fréquentation moyenne,13,52,Normal (31-60j),1,0,0
CLI0094,Pharmacie,Pharmacie Monplaisir,Sonia Gharbi,Parapharmacie,Pharmacie,Pharmacie Active,Ben Arous,Ezzahra,['Français'],Français,1,1,0,0,['LV Fersang junior'],1,0,Moyen,2,3059,Très haute fréquentation,22,44,Normal (31-60j),1,0,0
CLI0017,Pharmacie,Para-Pharmacie de l'Étoile,Ahmed Gharbi,Pharmacie de Nuit,Pharmacie,Pharmacie Active,Bizerte,Bizerte Nord,['Français'],Français,1,1,0,0,"['Vitonic Tonus', 'OLIGOVIT Trio']",2,1,Moyen,2,3277,Très haute fréquentation,25,64,À relancer (61-90j),1,0,0
CLI0019,Pharmacie,Para-Pharmacie du Bonheur,Nadia Gharbi,Pharmacie Générale,Médecine Générale,Pharmacie Active,Bizerte,Bizerte Nord,"['Français', 'Arabe']",Français,2,1,1,0,['OLIGOVIT Trio'],1,0,Moyen,2,2265,Haute fréquentation,24,64,À relancer (61-90j),1,0,0
CLI0069,Pharmacie,Para-Pharmacie du Centre,Amira Cherif,Pharmacie Générale,Médecine Générale,Pharmacie Active,Bizerte,Mateur,['Français'],Français,1,1,0,0,"['LV Vitamine A', 'OLIGOVIT Trio', 'LV Fersang junior']",3,1,Moyen,2,1015,Fréquentation moyenne,8,50,Normal (31-60j),1,0,0
CLI0147,Pharmacie,Para-Pharmacie du Centre,Amira Hamdi,Pharmacie de Quartier,Pharmacie,Pharmacie Active,Bizerte,Menzel Jemil,['Français'],Français,1,1,0,0,['PédiaKids Gelée royale'],1,0,Moyen,2,1996,Haute fréquentation,11,19,Récent (≤30j),1,0,0
CLI0014,Pharmacie,Pharmacie Familiale,Leila Ben Ali,Pharmacie Générale,Médecine Générale,Pharmacie Active,Manouba,Manouba,"['Français', 'Arabe']",Français,2,1,1,0,['TC 2000 Nutractiva'],1,0,Moyen,2,2880,Haute fréquentation,8,31,Normal (31-60j),1,0,0
CLI0123,Pharmacie,Pharmacie de la République,Leila Trabelsi,Pharmacie Générale,Médecine Générale,Pharmacie Active,Manouba,Borj El Amri,['Arabe'],Arabe,1,0,1,0,"['OLIGOVIT Trio', 'PédiaKids Gelée royale', 'Vitonic Tonus']",3,1,Moyen,2,1098,Fréquentation moyenne,21,59,Normal (31-60j),1,0,0
CLI0009,Pharmacie,Pharmacie El Menzah,Amira Sassi,Pharmacie de Quartier,Pharmacie,Pharmacie Active,Monastir,Jemmal,['Français'],Français,1,1,0,0,"['LV Sélénium A', 'C', 'E Anti-âge', 'OLIGOVIT Trio']",4,1,Moyen,2,3008,Très haute fréquentation,25,62,À relancer (61-90j),1,0,0
CLI0040,Pharmacie,Para-Pharmacie Manar,Mohamed Bouaziz,Pharmacie Générale,Médecine Générale,Pharmacie Active,Monastir,Ouerdanine,"['Français', 'Arabe']",Français,2,1,1,0,"['LV Fersang junior', 'Vitonic Tonus']",2,1,Moyen,2,1421,Fréquentation moyenne,21,49,Normal (31-60j),1,0,0
CLI0092,Pharmacie,Para-Pharmacie de la République,Ahmed Abidi,Pharmacie Générale,Médecine Générale,Pharmacie Active,Monastir,Zéramdine,['Français'],Français,1,1,0,0,"['LV Sélénium A', 'C', 'E Anti-âge', 'PédiaKids Gelée royale', 'LV Fersang junior']",5,1,Moyen,2,906,Fréquentation moyenne,18,58,Normal (31-60j),1,0,0
CLI0116,Pharmacie,Para-Pharmacie de la République,Rami Ben Ali,Parapharmacie,Pharmacie,Pharmacie Active,Monastir,Ksar Hellal,['Français'],Français,1,1,0,0,"['LV Fersang junior', 'LV Vitamine A', 'LV Sélénium A', 'C', 'E Anti-âge']",5,1,Moyen,2,1842,Haute fréquentation,9,11,Récent (≤30j),1,0,0
CLI0113,Pharmacie,Para-Pharmacie du Bonheur,Rami Ben Ali,Parapharmacie,Pharmacie,Pharmacie Active,Nabeul,Menzel Temime,['Français'],Français,1,1,0,0,"['PédiaKids Gelée royale', 'Echinacée', 'Zinc', 'Vit.C', 'LV Psolcalm']",5,1,Moyen,2,2056,Haute fréquentation,15,51,Normal (31-60j),1,0,0
CLI0067,Pharmacie,Pharmacie de la Paix,Rami Bouaziz,Parapharmacie,Pharmacie,Pharmacie Active,Sfax,Ghraiba,['Français'],Français,1,1,0,0,"['Huile de Menthe', 'LV Fersang junior', 'LV Psolcalm']",3,1,Moyen,2,1718,Haute fréquentation,14,38,Normal (31-60j),1,0,0
CLI0082,Pharmacie,Para-Pharmacie Manar,Sonia Abidi,Pharmacie Générale,Médecine Générale,Pharmacie Active,Sfax,El Amra,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,['LV Psolcalm'],1,0,Moyen,2,2913,Haute fréquentation,12,42,Normal (31-60j),1,0,0
CLI0146,Pharmacie,Pharmacie Ibn Sina,Nadia Gharbi,Parapharmacie,Pharmacie,Pharmacie Active,Sfax,Agareb,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,['Omevie Omega 3 – 1000'],1,0,Moyen,2,3337,Très haute fréquentation,14,24,Récent (≤30j),1,0,0
CLI0138,Pharmacie,Para-Pharmacie de Garde,Youssef Cherif,Pharmacie Générale,Médecine Générale,Pharmacie Active,Sousse,Messaadine,"['Français', 'Arabe']",Français,2,1,1,0,"['LV Fersang Gélule', 'Echinacée', 'Zinc', 'Vit.C']",4,1,Moyen,2,2690,Haute fréquentation,17,64,À relancer (61-90j),1,0,0
CLI0145,Pharmacie,Para-Pharmacie de l'Espoir,Fatma Bouaziz,Pharmacie de Nuit,Pharmacie,Pharmacie Active,Sousse,Kalâa Seghira,['Arabe'],Arabe,1,0,1,0,"['Hydra eau micellaire', 'PédiaKids Gelée royale', 'LV Sélénium A', 'C', 'E Anti-âge']",5,1,Moyen,2,1279,Fréquentation moyenne,14,57,Normal (31-60j),1,0,0
CLI0171,Cabinet Médical,Pr. Karim Chouchane,Pr. Karim Chouchane,Médecine Générale,Médecine Générale,Médecin Développement,Tunis,Sidi El Béchir,"['Français', 'Arabe']",Français,2,1,1,0,['LV Vitamine A'],1,0,Moyen,2,623,Cabinet très actif,6,42,Normal (31-60j),0,1,0
CLI0003,Pharmacie,Para-Pharmacie de la Victoire,Ahmed Hamdi,Pharmacie de Nuit,Pharmacie,Pharmacie Active,Tunis,Sidi Hassine,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,['LV Vitamine A'],1,0,Moyen,2,3164,Très haute fréquentation,25,60,Normal (31-60j),1,0,0
CLI0032,Pharmacie,Pharmacie du Progrès,Ahmed Ben Ali,Pharmacie de Quartier,Pharmacie,Pharmacie Active,Tunis,Ettahrir,['Arabe'],Arabe,1,0,1,0,"['LV Fersang junior', 'TC 2000 Nutractiva', 'Vitonic Tonus']",3,1,Moyen,2,1777,Haute fréquentation,18,43,Normal (31-60j),1,0,0
CLI0064,Pharmacie,Para-Pharmacie Principale,Youssef Trabelsi,Pharmacie de Quartier,Pharmacie,Pharmacie Active,Tunis,Carthage,['Français'],Français,1,1,0,0,"['OLIGOVIT Trio', 'TC 2000 Nutractiva', 'PédiaKids Gelée royale']",3,1,Moyen,2,1069,Fréquentation moyenne,11,43,Normal (31-60j),1,0,0
CLI0091,Pharmacie,Para-Pharmacie Nouvelle,Nadia Gharbi,Pharmacie Générale,Médecine Générale,Pharmacie Active,Tunis,La Medina,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,"['Huile de Menthe', 'LV CYSPROTECT', 'LV Sélénium A', 'C', 'E Anti-âge']",5,1,Moyen,2,1317,Fréquentation moyenne,10,28,Récent (≤30j),1,0,0
CLI0130,Pharmacie,Pharmacie du Quartier,Fatma Trabelsi,Pharmacie Générale,Médecine Générale,Pharmacie Active,Tunis,Sidi El Béchir,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,['LV CYSPROTECT'],1,0,Moyen,2,2963,Haute fréquentation,10,21,Récent (≤30j),1,0,0
CLI0194,Cabinet Médical,Dr. Sonia Farhat,Dr. Sonia Farhat,Gastro-entérologie,Gastro-entérologie,Médecin À Conquérir,Ariana,Sidi Thabet,['Français'],Français,1,1,0,0,['LV Fersang Gélule'],1,0,Faible,1,714,Cabinet très actif,13,105,Urgence (>90j),0,1,1
CLI0212,Cabinet Médical,Pr. Mohamed Jemni,Pr. Mohamed Jemni,Urologie,Urologie,Médecin À Conquérir,Ariana,Mnihla,['Arabe'],Arabe,1,0,1,0,"['Echinacée', 'Zinc', 'Vit.C', 'TC 2000 Nutractiva', 'LV Fersang junior']",5,1,Faible,1,496,Cabinet actif,18,148,Urgence (>90j),0,1,1
CLI0151,Cabinet Médical,Dr. Fatma Farhat,Dr. Fatma Farhat,Pneumologie,Pneumologie,Médecin À Conquérir,Ben Arous,Hammam Lif,"['Français', 'Arabe']",Français,2,1,1,0,"['LV Fersang junior', 'OLIGOVIT Trio']",2,1,Faible,1,792,Cabinet très actif,14,122,Urgence (>90j),0,1,1
CLI0156,Cabinet Médical,Dr. Sonia Ghariani,Dr. Sonia Ghariani,Cardiologie,Cardiologie,Médecin À Conquérir,Ben Arous,Mégrine,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,"['OLIGOVIT Trio', 'Hydra eau micellaire', 'LV Fersang junior']",3,1,Faible,1,290,Cabinet modéré,6,113,Urgence (>90j),0,1,1
CLI0162,Cabinet Médical,Dr. Amira Farhat,Dr. Amira Farhat,Neurologie,Neurologie,Médecin À Conquérir,Ben Arous,Ben Arous,['Arabe'],Arabe,1,0,1,0,['Huile de Menthe'],1,0,Faible,1,425,Cabinet actif,5,203,Urgence (>90j),0,1,1
CLI0183,Cabinet Médical,Dr. Ahmed Jemni,Dr. Ahmed Jemni,Cardiologie,Cardiologie,Médecin À Conquérir,Ben Arous,Radès,"['Français', 'Arabe']",Français,2,1,1,0,['LV Vitamine A'],1,0,Faible,1,318,Cabinet modéré,15,171,Urgence (>90j),0,1,1
CLI0168,Cabinet Médical,Pr. Amira Belhadj,Pr. Amira Belhadj,Rhumatologie,Rhumatologie / Orthopédie,Médecin À Conquérir,Bizerte,Tinja,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,"['OLIGOVIT Trio', 'Hydra eau micellaire']",2,1,Faible,1,756,Cabinet très actif,3,161,Urgence (>90j),0,1,1
CLI0193,Cabinet Médical,Dr. Fatma Dhouib,Dr. Fatma Dhouib,Pneumologie,Pneumologie,Médecin À Conquérir,Bizerte,El Alia,['Arabe'],Arabe,1,0,1,0,"['Huile de Menthe', 'LV Fersang Gélule']",2,1,Faible,1,519,Cabinet actif,8,196,Urgence (>90j),0,1,1
CLI0224,Cabinet Médical,Pr. Mohamed Ghariani,Pr. Mohamed Ghariani,Gynécologie,Gynécologie,Médecin À Conquérir,Bizerte,Bizerte Sud,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,"['LV CYSPROTECT', 'Hydra eau micellaire', 'LV Vitamine A']",3,1,Faible,1,155,Cabinet modéré,16,100,Urgence (>90j),0,1,1
CLI0165,Cabinet Médical,Dr. Mehdi Amari,Dr. Mehdi Amari,Dermatologie,Dermatologie,Médecin À Conquérir,Gabès,Matmata,['Arabe'],Arabe,1,0,1,0,"['LV Fersang junior', 'PédiaKids Gelée royale']",2,1,Faible,1,626,Cabinet très actif,11,88,À relancer (61-90j),0,1,1
