name,url,image_url,categories,indications,forme,infos_produit,classe,forme_normalized,classe_normalized,categories_list,primary_category,category_count,indication_count,is_complete,is_supplement,is_cosmetic,is_medical,is_care_product,is_topical,is_oral,avatar_priority_score
Vitonic Allaitement,https://vital.com.tn/products/vitonic-allaitement-2/,https://vital.com.tn/wp-content/uploads/2017/08/VITONIC-allaitement.png,Allaitement,Information non disponible,Gélule,Boite de 45 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Allaitement'],Allaitement,1,0,0,1,0,0,0,0,1,0.25
"Echinacée, Zinc, Vit.C",https://vital.com.tn/products/echizinc-2/,https://vital.com.tn/wp-content/uploads/2020/10/Echinace.png,Immunité,- Aide à protéger l’organisme des infections - Stimule la protection d’anticorps - Aide à réduire la durée du rhume,Gélule,Boite de 30 gélules,complément alimentaire,Gélule,Complément alimentaire,['Immunité'],Immunité,1,3,1,1,0,0,0,0,1,6.75
LV Psolcalm,https://vital.com.tn/products/psolcalm/,https://vital.com.tn/wp-content/uploads/2020/09/Psocalm.png,psoriasis,- Diminue les démangeaisons liées au psoriasis - Soulage et apaise les irritations dûes au psoriasis,Pommade,Non spécifié,complément alimentaire,Pommade,Complément alimentaire,['psoriasis'],psoriasis,1,2,1,1,0,0,0,1,0,5.25
LV Fersang Gélule,https://vital.com.tn/products/fersang-2/,https://vital.com.tn/wp-content/uploads/2017/08/Fersang-gelules.png,"Anémie, Carence en Fer",Information non disponible,Gélules,Boite de 60 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Anémie', 'Carence en Fer']",Anémie,2,0,0,1,0,0,0,0,1,0.5
LV CYSPROTECT,https://vital.com.tn/products/lv-cysprotect-2/,https://vital.com.tn/wp-content/uploads/2023/10/LV-CYSPROTECT.jpg,"Cystites, Infection urinaire",• Protège les voies urinaires sensibles • Cystites récidivantes • Complément d’une antibiothérapie fondée dans les infections urinaires basses,Sachets,12 Sachets,Complément alimentaire,Sachet,Complément alimentaire,"['Cystites', 'Infection urinaire']",Cystites,2,1,1,1,0,0,0,0,1,4.0
Hydra,https://vital.com.tn/products/hydra/,https://vital.com.tn/wp-content/uploads/2020/09/Hydra-boite.png,Peau,- Hydratation en profondeur de la peau - Nutrition de la peau - Adoucissement de la peau - Assouplissement de la peau - Régénération et cicatrisation cutanée,Crème,Crème visage et corps pour une peau douce et hydratée 24H/24,Crème,Crème,Crème,['Peau'],Peau,1,5,1,0,0,0,0,1,0,8.25
MULTIBON IMMUNITÉ,https://vital.com.tn/products/multibon-immunite-2/,https://vital.com.tn/wp-content/uploads/2022/07/MULTIBON-immunite.png,Immunité,- Contribue au renforcement du système immunitaire - Améliore les défenses naturelles contre les maladies virales et infectieuses,Gummies,Boite de 30 gummies,Complément alimentaire,Gummies,Complément alimentaire,['Immunité'],Immunité,1,2,1,1,0,0,0,0,0,5.25
Pédiakids Gel Lavant Doux,https://vital.com.tn/products/gel-lavant-doux/,https://vital.com.tn/wp-content/uploads/2019/05/Gel-lavant.png,Peau,- Nettoyant - Hydratant - Nourrissant,Gel,Flacon de 200 ml,Autre,Gel,Autre,['Peau'],Peau,1,3,0,0,0,0,0,1,0,4.75
LV Arthroforce huile,https://vital.com.tn/products/lv-arthroforce-huile/,https://vital.com.tn/wp-content/uploads/2017/08/Arthroforce-huile.png,"Arthrite, Arthrose, Douleurs articulaires","Douleurs articulaires, arthrose, Arthrite, Tendinite",Huile,flacon de 60ml,complément alimentaire,Huile,Complément alimentaire,"['Arthrite', 'Arthrose', 'Douleurs articulaires']",Arthrite,3,1,1,1,0,0,0,1,0,4.25
Oligovit vitamine C,https://vital.com.tn/products/oligovitvitaminec/,https://vital.com.tn/wp-content/uploads/2020/10/Oligovit.png,Immunité,Fatigue Asthénie Courbatures Baisse d’immunité,Gélule,Boite de 30 gélules,complément alimentaire,Gélule,Complément alimentaire,['Immunité'],Immunité,1,1,1,1,0,0,0,0,1,3.75
Minciligne Homme,https://vital.com.tn/products/minciligne-homme/,https://vital.com.tn/wp-content/uploads/2018/08/minciligne-homme.png,"Brûle graisses, Coupe faim",Coupe faim Obésité Adjuvant de régime,Solution buvable,20 Sachets de 10 ml,Complément alimentaire,Solution,Complément alimentaire,"['Brûle graisses', 'Coupe faim']",Brûle graisses,2,1,1,1,0,0,0,0,1,4.0
Plantalgic,https://vital.com.tn/products/plantalgic/,https://vital.com.tn/wp-content/uploads/2017/08/Plantalgic.png,"Anxiété, Migraine",Femme enceinte et allaitante,Gélule,Boite de 15 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Anxiété', 'Migraine']",Anxiété,2,1,1,1,0,0,0,0,1,4.0
Pédiakids Crème pour le change 90gr,https://vital.com.tn/products/pediakids-creme-pour-le-change-90gr/,https://vital.com.tn/wp-content/uploads/2022/09/pediakidscremepourlechange-90gr.png,"Erythèmes, soin bébé",Information non disponible,Crème,Tube de 90 gr,Crème pour la peau,Crème,Crème Pour La Peau,"['Erythèmes', 'soin bébé']",Erythèmes,2,0,0,0,0,0,0,1,0,0.5
PHYTOFANE Fortifiant Phanères,https://vital.com.tn/products/phytofane-fortifiant-phaneres-2/,https://vital.com.tn/wp-content/uploads/2024/12/PHYTOFANE-FORTIFIANT-phaneres.png,"Cheveux, Fortifiant, Ongles",• Fortifie les cheveux & les ongles • Favorise la vitalité & la brillance,Gélules,60 Gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Cheveux', 'Fortifiant', 'Ongles']",Cheveux,3,1,1,1,0,0,0,0,1,4.25
SWEET health fer,https://vital.com.tn/products/sweet-health-fer/,https://vital.com.tn/wp-content/uploads/2022/07/SWEEThealth-fer.png,"Carence en Fer, Anémie",- Prévenir les carences en fer - Faible risque de constipation - Traitement de l’anémie chez l’adulte et la femme enceinte - Meilleur absorption du fer grâce à la vitamine C,Gummies,Boite de 30 gummies,Complément alimentaire,Gummies,Complément alimentaire,"['Carence en Fer', 'Anémie']",Carence en Fer,2,4,1,1,0,0,0,0,0,8.5
Vitonic Junior,https://vital.com.tn/products/vitonic-junior-3/,https://vital.com.tn/wp-content/uploads/2017/08/Vitonic-Junior.png,Revitalisant,Information non disponible,Suspension,Flacon de 90 ml + une pipette,Complément alimentaire,Suspension,Complément alimentaire,['Revitalisant'],Revitalisant,1,0,0,1,0,0,0,0,0,0.25
Dermacné ( gel nettoyant ),https://vital.com.tn/products/dermacne-gel-nettoyant/,https://vital.com.tn/wp-content/uploads/2021/09/3.png,Peau,Assainir et purifier la peau en profondeur Elimine les imperfections cutanées des peaux grasses à tendance acnéique,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['Peau'],Peau,1,1,0,0,0,0,0,0,0,1.75
LV PSOCALM,https://vital.com.tn/products/lv-psocalm/,https://vital.com.tn/wp-content/uploads/2023/10/Psocalme.jpg,"Apaise, Peau",• Diminue les démangeaisons liées au psoriasis • Soulage et apaise les irritations dues au psoriasis,Pommade,90 Gr,Réparation de la peau,Pommade,Réparation De La Peau,"['Apaise', 'Peau']",Apaise,2,1,1,0,0,0,0,1,0,4.0
Hydra eau micellaire,https://vital.com.tn/products/hydra-eau-micellaire-2/,https://vital.com.tn/wp-content/uploads/2022/07/HYDRA-eau-micellaire-peau-grasse.png,Peau,- Nettoyante - Démaquillante - Purifiante - Aide à éliminer les impuretés - Se débarrasse de l’excès de sébum en douceur - Laisse la peau nette et fraîche,Forme non spécifiée,Peau grasse,Autre,Forme non spécifiée,Autre,['Peau'],Peau,1,6,0,0,0,0,0,0,0,6.25
LV Spasvit Sirop,https://vital.com.tn/products/lv-spasvit-sirop/,https://vital.com.tn/wp-content/uploads/2021/06/Spasvit-sirop.png,Spasmes intestinaux,- Soulage les spasmes gastro-intestinaux et les coliques hépatiques - Équilibre la flore intestinale,Sirop 150 ml,Non spécifié,complément alimentaire,Sirop,Complément alimentaire,['Spasmes intestinaux'],Spasmes intestinaux,1,2,1,1,0,0,0,0,1,5.25
Pédiakids Crème pour le change,https://vital.com.tn/products/pediakids-creme/,https://vital.com.tn/wp-content/uploads/2017/08/creme-pour-le-change.png,"soin bébé, Erythèmes",Information non disponible,Crème,Tube de 40 gr,Crème pour la peau,Crème,Crème Pour La Peau,"['soin bébé', 'Erythèmes']",soin bébé,2,0,0,0,0,0,0,1,0,0.5
Grossivit Sirop bébé et enfant,https://vital.com.tn/products/grossivit-bebe-enfant/,https://vital.com.tn/wp-content/uploads/2019/05/Grossivit-bebe-et-enfant.png,"Appétit, Prise de poids",Information non disponible,Sirop,Flacon de 250 ml,Complément alimentaire,Sirop,Complément alimentaire,"['Appétit', 'Prise de poids']",Appétit,2,0,0,1,0,0,0,0,1,0.5
HYDRAfine Après épilation,https://vital.com.tn/products/hydrafine-apres-epilation-2/,https://vital.com.tn/wp-content/uploads/2023/10/HYDRAfine-Apres-epilation.jpg,"Cicatrices, Hydrate, Peau",• Protège les peaux sensibilisées • Pro-cicatrisantes et hydratantes,Crème,90 Gr,Crème après épilation,Crème,Crème Après Épilation,"['Cicatrices', 'Hydrate', 'Peau']",Cicatrices,3,1,1,0,0,0,0,1,0,4.25
Stimul plus,https://vital.com.tn/products/stimul-plus-2/,https://vital.com.tn/wp-content/uploads/2017/08/stimulplus-1.png,"Fatigue sexuelle, Baisse de la libido",Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Fatigue sexuelle', 'Baisse de la libido']",Fatigue sexuelle,2,0,0,1,0,0,0,0,1,0.5
Omevie Emotion - 900,https://vital.com.tn/products/omevie-emotion-900/,https://vital.com.tn/wp-content/uploads/2019/06/emotion.png,état d’humeur,Garder une humeur équilibrée Aide à maintenir un équilibre émotionnel,Capsule,Boite de 30 capsules,Complément alimentaire,Capsule,Complément alimentaire,['état d’humeur'],état d’humeur,1,1,1,1,0,0,0,0,1,3.75
Uniderme peau mixte,https://vital.com.tn/products/uniderme-peau-mixte/,https://vital.com.tn/wp-content/uploads/2020/09/Uniderm-peau-mixte.png,Peau,"Savon unifiant tonique et nourrissant, spécifique pour la peau mixte",Savon,Non spécifié,Savon,Savon,Savon,['Peau'],Peau,1,1,1,0,0,0,0,0,0,3.75
Dermasoufre,https://vital.com.tn/products/dermasoufre-2/,https://vital.com.tn/wp-content/uploads/2017/05/Dermadouce-1.png,"Antiseptique, Peau",Information non disponible,Savon,Savon de 90 gr,Savon dermatologique,Savon,Savon Dermatologique,"['Antiseptique', 'Peau']",Antiseptique,2,0,0,0,0,0,0,0,0,0.5
LV Tabastop,https://vital.com.tn/products/tabastop-3/,https://vital.com.tn/wp-content/uploads/2017/08/Tabastop.png,Servage tabagique,Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Servage tabagique'],Servage tabagique,1,0,0,1,0,0,0,0,1,0.25
Pédiakids Multi Vitamines Pomme,https://vital.com.tn/products/multi-vitamines/,https://vital.com.tn/wp-content/uploads/2021/08/multivitamines.png,Immunité,Une croissance équilibrée Optimiser les apports en vitamines et minéraux chez les jeunes enfants,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['Immunité'],Immunité,1,1,0,0,0,0,0,0,0,1.75
LV Vitamine D3,https://vital.com.tn/products/vitamine-d3-5/,https://vital.com.tn/wp-content/uploads/2020/09/Vitamine-D3-1.png,"Immunité, Carence en Vit D",- Immunostimulant - Réduit le risque d’infections respiratoires graves - Améliore l’absorption du calcium - Aide à maintenir des os solides et sains - Nécessaire pour le bon fonctionnement des muscles,Gélules,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Immunité', 'Carence en Vit D']",Immunité,2,5,1,1,0,0,0,0,1,8.5
Pectine de pomme,https://vital.com.tn/products/pectine-de-pomme-4/,https://vital.com.tn/wp-content/uploads/2017/08/Phytothera-PECTINE-DE-POMME.png,Coupe faim,Pectine de pomme,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Coupe faim'],Coupe faim,1,1,1,1,0,0,0,0,1,3.75
Pédiakids Appétit croissance,https://vital.com.tn/products/pediakids-appetit-croissance-2/,https://vital.com.tn/wp-content/uploads/2017/08/Appetit-croissance.png,Appétit,Information non disponible,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,['Appétit'],Appétit,1,0,0,1,0,0,0,0,1,0.25
Vaseline,https://vital.com.tn/products/vaseline-2/,https://vital.com.tn/wp-content/uploads/2022/07/VASELINE.png,Peau,- Hydratant - Lubrifiant,Crème,"Peau douce, lisse et visiblement saine",Crème,Crème,Crème,['Peau'],Peau,1,2,1,0,0,0,0,1,0,5.25
Mincicare 4 actions,https://vital.com.tn/products/mincicare-4-actions/,https://vital.com.tn/wp-content/uploads/2020/09/Mincicare.png,"Détox, Drainage",- Draineur - Brûleur de graisses - Détoxifiant - Coupe Faim,Solution buvable,Non spécifié,Complement alimentaire,Solution,Complément alimentaire,"['Détox', 'Drainage']",Détox,2,4,1,1,0,0,0,0,1,8.5
HYDRA GEL Nettoyant visage Peau Normale,https://vital.com.tn/products/hydra-gel-nettoyant-visage-peau-normale-2/,https://vital.com.tn/wp-content/uploads/2023/10/HYDRA-GEL-Nettoyant-visage-Peau-Normale.jpg,"nettoie, Peau, Purifie, Revitalisant",• Nettoie • Purifie • Revitalise,Gel,230 ML,Nettoyant visage,Gel,Nettoyant Visage,"['nettoie', 'Peau', 'Purifie', 'Revitalisant']",nettoie,4,1,1,0,0,0,0,1,0,4.5
Phytofibres,https://vital.com.tn/products/phytofibres-2/,https://vital.com.tn/wp-content/uploads/2019/05/phytofibre.png,"Ballonnement et gaz, Constipation, Digestion",Information non disponible,Gélule,Boite de 60 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Ballonnement et gaz', 'Constipation', 'Digestion']",Ballonnement et gaz,3,0,0,1,0,0,0,0,1,0.75
Minciligne Aux 9 plantes phytoactives,https://vital.com.tn/products/minciligne-aux-9-plantes-phytoactives/,https://vital.com.tn/wp-content/uploads/2018/08/miniciligne-9-plantes.png,Drainage,#NAME?,Solution buvable,Flacon de 275ml,Complément alimentaire,Solution,Complément alimentaire,['Drainage'],Drainage,1,1,1,1,0,0,0,0,1,3.75
Pulmax Anti-Tussif,https://vital.com.tn/products/pulmax-anti-tussif/,https://vital.com.tn/wp-content/uploads/2022/08/Pulmax.png,"Toux, Immunité",- Apaise la toux - Dégage les voies respiratoires - SANS SUCRE - Adapté aux diabétiques,Sirop,Sirop sans sucre 150 ml,Complément alimentaire,Sirop,Complément alimentaire,"['Toux', 'Immunité']",Toux,2,4,1,1,0,0,0,0,1,8.5
Hydra eau micellaire,https://vital.com.tn/products/hydra-eau-micellaire-3/,https://vital.com.tn/wp-content/uploads/2022/07/HYDRA-eau-micellaire-peau-seche.png,Peau,- Nettoyante - Démaquillante - Purifiante - Aide à éliminer les impuretés - Se débarrasse de l’excès de sébum en douceur - Laisse la peau nette et fraîche,Forme non spécifiée,Peau sèche,Autre,Forme non spécifiée,Autre,['Peau'],Peau,1,6,0,0,0,0,0,0,0,6.25
Omevie Omega 3 - 500,https://vital.com.tn/products/omevie-omega-3-500/,https://vital.com.tn/wp-content/uploads/2020/09/Omega-3-500.png,"Concentration, Développement cérébral, Immunité",- Contribue au bon développement cérébral - Maintenir une bonne vision - Prévient et réduit l’inflammation secondaire à une infection virale - Concentration,Capsule,Boite de 30 capsules,Complément alimentaire,Capsule,Complément alimentaire,"['Concentration', 'Développement cérébral', 'Immunité']",Concentration,3,4,1,1,0,0,0,0,1,8.75
Vaseline glycérinée,https://vital.com.tn/products/vaseline-glycerinee-2/,https://vital.com.tn/wp-content/uploads/2022/07/VASELINE-glycerinee-.png,Peau,- Hydratant profond - Lubrifiant,Crème,"Peau douce, lisse et visiblement saine",crème,Crème,Crème,['Peau'],Peau,1,2,1,0,0,0,0,1,0,5.25
DERMADOUCE,https://vital.com.tn/products/derma-douce/,https://vital.com.tn/wp-content/uploads/2017/05/Dermadouce-1-1.png,"Exfoliant, Peau",Information non disponible,Savon,Savon de 90 gr,Savon dermatologique,Savon,Savon Dermatologique,"['Exfoliant', 'Peau']",Exfoliant,2,0,0,0,0,0,0,0,0,0.5
Gelée Royale Gélule,https://vital.com.tn/products/gelee-royale-5/,https://vital.com.tn/wp-content/uploads/2017/05/gelee-royale.png,"Immunité, Fortifiant",Information non disponible,Gélules,Boite de 30 gélules / 20 ampoules,Complément alimentaire,Gélule,Complément alimentaire,"['Immunité', 'Fortifiant']",Immunité,2,0,0,1,0,0,0,0,1,0.5
MULTIBON SOMMEIL,https://vital.com.tn/products/multibon-sommeil-2/,https://vital.com.tn/wp-content/uploads/2022/07/MULTIBON-sommeil.png,Troubles de sommeil,- Favorise l’endormissement - Améliore la qualité du sommeil - Evite les réveils nocturnes,Gummies,Boite de 30 gummies,Complément alimentaire,Gummies,Complément alimentaire,['Troubles de sommeil'],Troubles de sommeil,1,3,1,1,0,0,0,0,0,6.75
multi vitamines,https://vital.com.tn/products/multi-vitamines-2/,https://vital.com.tn/wp-content/uploads/2021/08/multivitamines-1.png,Immunité,Une croissance équilibrée Optimiser les apports en vitamines et minéraux chez les jeunes enfants,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['Immunité'],Immunité,1,1,0,0,0,0,0,0,0,1.75
LV PHYTOVEINE,https://vital.com.tn/products/lv-phytoveine-2/,https://vital.com.tn/wp-content/uploads/2023/10/LV-PHYTOVEINE.jpg,"Jambes lourdes, Varices",• Améliore le retour veineux • Stimule la circulation veineuse • Soulage la sensation de jambes lourdes,Sachets,12 Sachets,Complément alimentaire,Sachet,Complément alimentaire,"['Jambes lourdes', 'Varices']",Jambes lourdes,2,1,1,1,0,0,0,0,1,4.0
LV GINKO Extra,https://vital.com.tn/products/lv-ginko-extra/,https://vital.com.tn/wp-content/uploads/2023/10/LV-GINKO-Extra-60ml.jpg,"Concentration, Mémoire",• Améliore la mémoire et la concentration chez les adultes • Traite la claudication intermittente • Traite les acouphènes,Gélules,60 Gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Concentration', 'Mémoire']",Concentration,2,1,1,1,0,0,0,0,1,4.0
"LV Sélénium A, C, E + Gelée Royale",https://vital.com.tn/products/selenium-a-c-e-gelee-royale/,https://vital.com.tn/wp-content/uploads/2017/08/Selenium.png,"Anti-âge, Immunité",Information non disponible,Gélules,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Anti-âge', 'Immunité']",Anti-âge,2,0,0,1,0,0,0,0,1,0.5
LV Arthroforce Gélule,https://vital.com.tn/products/arthroforce-2/,https://vital.com.tn/wp-content/uploads/2017/08/LV-Arthroforce-gelules.png,"Arthrite, Arthrose, Douleurs articulaires",Interaction avec anticoagulants pour la forme gélule,Gélule,"Boite de 60 gélules, Tube de 90g, Tube de 45g",complément alimentaire,Gélule,Complément alimentaire,"['Arthrite', 'Arthrose', 'Douleurs articulaires']",Arthrite,3,1,1,1,0,0,0,0,1,4.25
LV PhytoVeine Huile,https://vital.com.tn/products/lv-phytoveine-huile/,https://vital.com.tn/wp-content/uploads/2017/08/Phytoveine-1.png,"Jambes lourdes, Varices",- Soulage les douleurs des jambes lourdes - Stimule la circulation sanguine,Huile,Flacon de 60 ml,Huile pour massage,Huile,Huile Pour Massage,"['Jambes lourdes', 'Varices']",Jambes lourdes,2,2,1,0,0,0,0,1,0,5.5
Uniderm peau grasse,https://vital.com.tn/products/uniderme-peau-grasse-2/,https://vital.com.tn/wp-content/uploads/2020/09/Uniderme-peau-grasse.png,Peau,"Savon unifiant et astringent, spécifique pour la peau grasse à tendance acnéique",Savon,Non spécifié,Savon,Savon,Savon,['Peau'],Peau,1,1,1,0,0,0,0,0,0,3.75
Lécithine de Soja,https://vital.com.tn/products/lecithine-de-soja-2/,https://vital.com.tn/wp-content/uploads/2017/08/lectine-de-soja.png,Cholestérol,Information non disponible,Gélule,Boite de 45 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Cholestérol'],Cholestérol,1,0,0,1,0,0,0,0,1,0.25
Vitonic Conception,https://vital.com.tn/products/vitonic-conception-3/,https://vital.com.tn/wp-content/uploads/2017/08/VITONIC-conception-1.png,Fertilité féminine,Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Fertilité féminine'],Fertilité féminine,1,0,0,1,0,0,0,0,1,0.25
TC 2000 Savon,https://vital.com.tn/products/tc-2000-savon/,https://vital.com.tn/wp-content/uploads/2017/08/tc2000-savon.jpg,"Anti-tâches, Exfoliant","- Effet éclaircissant, anti tâches brunes - Élimine les cellules mortes de l’épiderme tout en nettoyant la peau - Unifie le teint grâce à l’argile",Savon,Savon 90 gr,Savon dermatologique,Savon,Savon Dermatologique,"['Anti-tâches', 'Exfoliant']",Anti-tâches,2,3,1,0,0,0,0,0,0,7.0
DermaGyn,https://vital.com.tn/products/dermagyn/,https://vital.com.tn/wp-content/uploads/2017/08/Dermagyn.png,Hygiène Intime,Information non disponible,Savon / Gel,Savon de 90 gr,Savon dermatologique,Gel,Savon Dermatologique,['Hygiène Intime'],Hygiène Intime,1,0,0,0,0,0,0,1,0,0.25
LV Spasvit Gélule,https://vital.com.tn/products/spasvit-gelule/,https://vital.com.tn/wp-content/uploads/2020/09/Spasvit-1.png,Spasmes intestinaux,- Soulage les spasmes gastro-intestinaux et les coliques hépatiques - Équilibre la flore intestinale,Gélule,Boite de 15 gélules,complément alimentaire,Gélule,Complément alimentaire,['Spasmes intestinaux'],Spasmes intestinaux,1,2,1,1,0,0,0,0,1,5.25
